0 1 0.5128775239 -1.57354 0 0 0 0 -0.00699027 -0.00785218 -0.510667 -0.425 -2615 -0.376718 -0.18129	(  65                       28                       84                       16                       62                       48                       62                        2                      )
0 12 5.1737870835 -1.61702 0 0 0 0 -0.0069889 -0.00749862 -0.51 -0.45 -2669 -0.376528 -0.187516	(  65                       28                       94                       16                       62                       58                       62                        2                      )
1 32 11.4561945759 -1.61719 0 0 0 0 -0.0069889 -0.00675753 -0.51 -0.45 -2669 -0.376561 -0.187538	(  65                       28                       94                       26                       62                       58                       62                        2                      )
2 43 14.6331657544 -1.90245 0 0 0 0 -0.0056571 -0.00673401 -0.508667 -0.5 -2995 -0.368608 -0.229526	(  65                       28                       94                       26                       62                       48                       52                       12                      )
4 116 46.4791282713 -1.90253 0 0 0 0 -0.0056571 -0.00673401 -0.508667 -0.5 -2995.5 -0.368662 -0.229536	(  65                       28                       94                       26                       62                       48                       42                       12                      )
8 394 173.9797861278 -1.90261 0 0 0 0 -0.0056571 -0.00673401 -0.508667 -0.5 -2995.5 -0.368716 -0.229545	(  65                       28                       94                       26                       62                       48                       32                       12                      )
9 540 260.6232042648 -2.05623 0 0 0 0 -0.00760132 -0.00513234 -0.478 -0.575 -3620.5 -0.461402 -0.260941	(  75                       28                       94                       36                       62                       98                       62                        2                      )
11 647 301.7317615300 -2.33543 0 0 0 0 -0.00646755 -0.0050976 -0.477333 -0.6 -3983 -0.454866 -0.295722	(  75                       28                       94                       36                       62                       78                       32                       12                      )
12 764 341.5129661672 -2.34324 0 0 0 0 -0.00578725 -0.00538779 -0.476667 -0.6 -3949.5 -0.447461 -0.297523	(  75                       28                       94                       36                       62                       78                       32                       22                      )
14 1187 465.8471929617 -2.39019 0 0 0 0 -0.00676147 -0.00535704 -0.507333 -0.625 -4096.5 -0.460479 -0.295889	(  75                       28                       94                       36                       52                       68                       52                       12                      )
15 1317 520.5120369010 -2.39035 0 0 0 0 -0.00676147 -0.00535704 -0.507333 -0.625 -4097.5 -0.460584 -0.295908	(  75                       28                       94                       36                       52                       68                       32                       12                      )
16 1354 536.3134014457 -2.39224 0 0 0 0 -0.00659979 -0.00498304 -0.533333 -0.625 -4148.5 -0.468025 -0.293687	(  75                       28                       94                       46                       42                       48                       42                       12                      )
17 1376 548.6168102324 -2.39242 0 0 0 0 -0.00659979 -0.00405807 -0.533333 -0.625 -4149.5 -0.468099 -0.293711	(  75                       28                       94                       56                       42                       48                       32                       12                      )
18 1443 580.0464343429 -2.42444 0 0 0 0 -0.00703612 -0.00179502 -0.533333 -0.625 -4187 -0.466736 -0.298106	(  75                       28                       94                       76                       42                       58                       42                       12                      )
19 1464 587.3411842026 -2.42464 0 0 0 0 -0.00703612 -0.000423948 -0.533333 -0.625 -4188 -0.466814 -0.298132	(  75                       28                       94                       86                       42                       58                       32                       12                      )
21 1695 706.8572558165 -2.54555 0 0 0 0 -0.00669067 -0.00122632 -0.574333 -0.65 -4480.5 -0.483028 -0.303586	(  75                       28                       94                       86                       22                       28                       32                       12                      )
22 1765 744.7155632898 -2.54575 0 0 0 0 -0.00690314 -0.000434972 -0.574333 -0.65 -4481.5 -0.483085 -0.303595	(  75                       28                       94                       96                       22                       28                       32                       12                      )
23 1784 754.2820785753 -2.55878 0 0 0 0 -0.00605123 -0.000427257 -0.573333 -0.65 -4454 -0.476697 -0.306309	(  75                       28                       94                       96                       22                       28                       32                       22                      )
24 2487 1094.1062492765 -2.575 0 0 0 0 -0.00605208 -0.00928772 -0.573667 -0.65 -4476 -0.476459 -0.306247	(  75                       28                       94                        6                       22                       28                       32                       22                      )
25 2532 1114.1960197762 -2.57503 0 0 0 0 -0.00626437 -0.00604438 -0.573667 -0.65 -4477 -0.476533 -0.306269	(  75                       28                       94                       36                       22                       28                       32                       22                      )
26 2711 1216.0969908647 -2.5751 0 0 0 0 -0.00626437 -0.00523696 -0.573667 -0.65 -4477 -0.476557 -0.306278	(  75                       28                       94                       46                       22                       28                       32                       22                      )
27 2943 1328.7845933922 -2.8297 0 0 0 0 -0.00645211 -0.006725 -0.563 -0.7 -5227.5 -0.519135 -0.343581	(  85                       28                       94                       26                       22                       38                       32                       22                      )
28 3033 1377.2555179708 -2.83535 0 0 0 0 -0.00686489 -0.00829511 -0.555667 -0.7 -5235 -0.518962 -0.345779	(  85                       38                       94                        6                       22                       48                       42                       22                      )
30 3219 1455.0989291593 -2.83781 0 0 0 0 -0.00706442 -0.00901721 -0.547667 -0.7 -5239 -0.518987 -0.347906	(  85                       48                       94                        6                       22                       58                       32                       22                      )
31 4025 1725.0283606015 -2.93317 0 0 0 0 -0.00711444 -0.00851902 -0.573667 -0.7 -5441.5 -0.523848 -0.355137	(  85                       48                       94                        6                       12                       38                       52                       22                      )
32 4153 1786.1322934479 -2.93322 0 0 0 0 -0.00711444 -0.00772988 -0.573667 -0.7 -5442 -0.523863 -0.355144	(  85                       48                       94                       16                       12                       38                       52                       22                      )
33 4304 1851.7599498890 -2.93335 0 0 0 0 -0.00711444 -0.00772988 -0.573667 -0.7 -5443 -0.523951 -0.35516	(  85                       48                       94                       16                       12                       38                       32                       22                      )
34 4567 1965.2668143660 -3.00608 0 0 0 0 -0.00538191 -0.00804657 -0.562333 -0.725 -5798.5 -0.545858 -0.368687	(  95                       48                       94                       16                       12                       28                       32                       22                      )
35 5259 2249.5489479229 -3.01252 0 0 0 0 -0.00645444 -0.00872952 -0.564 -0.725 -5793 -0.5444 -0.36855	(  95                       48                       74                        6                       12                       28                       42                       22                      )
36 5285 2261.1483008899 -3.0126 0 0 0 0 -0.00645444 -0.00804517 -0.564 -0.725 -5793.5 -0.544448 -0.36856	(  95                       48                       74                       16                       12                       28                       32                       22                      )
37 5353 2293.7472758517 -3.02091 0 0 0 0 -0.00581092 -0.00804517 -0.563 -0.725 -5768.5 -0.540944 -0.370505	(  95                       48                       74                       16                       12                       28                       32                       32                      )
38 5496 2364.5251932256 -3.02592 0 0 0 0 -0.00538191 -0.00872859 -0.562333 -0.725 -5742 -0.5378 -0.371769	(  95                       48                       74                        6                       12                       28                       32                       42                      )
39 5596 2399.7390664965 -3.02598 0 0 0 0 -0.00538191 -0.00667694 -0.562333 -0.725 -5742.5 -0.53782 -0.371777	(  95                       48                       74                       36                       12                       28                       32                       42                      )
40 6344 2644.2905107960 -3.0404 0 0 0 0 -0.00560787 -0.00571562 -0.566667 -0.725 -5777.5 -0.538794 -0.372696	(  95                       38                       74                       46                       12                       28                       52                       42                      )
41 6475 2703.0623539016 -3.04349 0 0 0 0 -0.00624975 -0.00571245 -0.567667 -0.725 -5773.5 -0.537963 -0.37251	(  95                       38                       64                       46                       12                       28                       52                       42                      )
42 6686 2798.6141945571 -3.04354 0 0 0 0 -0.00624975 -0.00644122 -0.567667 -0.725 -5774 -0.538005 -0.372515	(  95                       38                       64                       36                       12                       28                       42                       42                      )
43 6785 2839.1398631707 -3.04356 0 0 0 0 -0.00624975 -0.00571245 -0.567667 -0.725 -5774 -0.538007 -0.372518	(  95                       38                       64                       46                       12                       28                       42                       42                      )
44 6882 2880.6244558468 -3.04357 0 0 0 0 -0.00624975 -0.00498472 -0.567667 -0.725 -5774 -0.53801 -0.372519	(  95                       38                       64                       56                       12                       28                       42                       42                      )
45 7016 2930.7171737999 -3.04672 0 0 0 0 -0.00689162 -0.00571245 -0.568667 -0.725 -5769.5 -0.537108 -0.372325	(  95                       38                       54                       56                       12                       28                       42                       42                      )
46 7121 2984.1380292885 -3.04673 0 0 0 0 -0.00689162 -0.00571245 -0.568667 -0.725 -5769.5 -0.53711 -0.372326	(  95                       38                       54                       66                       12                       28                       42                       42                      )
47 7256 3032.1910597235 -3.04825 0 0 0 0 -0.00710558 -0.00790195 -0.569 -0.725 -5772 -0.537122 -0.372318	(  95                       38                       54                        6                       12                       28                       42                       42                      )
52 9799 4016.5016861632 -3.04914 0 0 0 0 -0.00689162 -0.00863816 -0.568667 -0.725 -5777.5 -0.537473 -0.372582	(  95.200000000000002842    37.899999999999998579    54                        6                       12                       28                       42                       42                      )
53 9800 4017.5588418655 -3.06443 0 0 0 0 -0.00711318 -0.00775194 -0.573 -0.725 -5816.5 -0.538647 -0.37358	(  95.200000000000002842    27.899999999999998579    54                        6                       12                       28                       42                       42                      )
54 9864 4055.6586365029 -3.06445 0 0 0 0 -0.00711318 -0.00775194 -0.573 -0.725 -5816.5 -0.53865 -0.373582	(  95.200000000000002842    27.899999999999998579    54                       16                       12                       28                       42                       42                      )
56 10204 4263.8249744363 -3.0662 0 0 0 0 -0.00711318 -0.00696648 -0.573 -0.725 -5824.5 -0.53912 -0.373857	(  95.299999999999997158    27.899999999999998579    55.799999999999997158    16                       11.900000000000000355    28                       42                       41.799999999999997158   )
57 10215 4267.4953416102 -3.06628 0 0 0 0 -0.00711318 -0.00696648 -0.573 -0.725 -5825.5 -0.539168 -0.373866	(  95.299999999999997158    27.899999999999998579    55.799999999999997158    26                       11.900000000000000355    28                       32                       41.799999999999997158   )
59 10494 4449.8067261092 -3.07393 0 0 0 0 -0.00711507 -0.00612423 -0.574 -0.725 -5846 -0.539858 -0.374647	(  95.5                     26.599999999999997868    55.699999999999995737    26                       11.599999999999999645    28                       32                       41.799999999999997158   )
60 10507 4455.6498028636 -3.07395 0 0 0 0 -0.00711507 -0.00612423 -0.574 -0.725 -5846 -0.539858 -0.374649	(  95.5                     26.599999999999997868    55.699999999999995737    36                       11.599999999999999645    28                       32                       41.799999999999997158   )
61 10619 4525.1558469050 -3.0829 0 0 0 0 -0.0075481 -0.00581729 -0.578667 -0.725 -5911 -0.544231 -0.374417	(  95.5                     16.599999999999997868    55.699999999999995737     6                       11.599999999999999645    28                       32                       31.799999999999997158   )
63 10858 4693.6823012456 -3.08601 0 0 0 0 -0.00776084 -0.00494305 -0.579 -0.725 -5920 -0.544532 -0.374723	(  95.599999999999994316    16.599999999999997868    56.299999999999997158     6                       11.400000000000000355    27.899999999999998579    32.200000000000002842    31.799999999999997158   )
64 10937 4749.1968983896 -3.08895 0 0 0 0 -0.00669785 -0.00579905 -0.577667 -0.725 -5897 -0.542091 -0.376099	(  95.599999999999994316    16.599999999999997868    66.299999999999997158     6                       11.400000000000000355    27.899999999999998579    32.200000000000002842    41.799999999999997158   )
66 11176 4885.6871920042 -3.09096 0 0 0 0 -0.00669785 -0.00493425 -0.577667 -0.725 -5905.5 -0.542561 -0.37641	(  95.799999999999997158    15.299999999999997158    66.299999999999997158     6                       11.599999999999999645    28.199999999999999289    32.400000000000005684    41.799999999999997158   )
68 11333 4984.9453752227 -3.0938 0 0 0 0 -0.00691055 -0.00492543 -0.578 -0.725 -5910 -0.542541 -0.376628	(  95.899999999999991473    15.399999999999996803    64.399999999999991473     6                       11.400000000000000355    28                       32.500000000000007105    42.099999999999994316   )
70 11455 5063.1982447989 -3.10056 0 0 0 0 -0.00712387 -0.0048943 -0.578667 -0.725 -5922 -0.542568 -0.377277	(  96.200000000000002842    15.700000000000001066    59.399999999999991473     6                       10.900000000000000355    27.5                     32.800000000000004263    42.900000000000005684   )
72 11594 5148.0523244105 -3.10076 0 0 0 0 -0.00691122 -0.00490769 -0.578333 -0.725 -5924.5 -0.542757 -0.377465	(  96.299999999999997158    15.800000000000000711    59.299999999999990052     5.0999999999999996447   10.900000000000000355    27.600000000000001421    32.800000000000004263    42.900000000000005684   )
73 11595 5148.8226897158 -3.11434 0 0 0 0 -0.00712073 -0.00590624 -0.577 -0.725 -5973 -0.544932 -0.379498	(  97.5                     17                       58.200000000000002842     5.0999999999999996447   10.900000000000000355    28.800000000000000711    32.800000000000004263    42.900000000000005684   )
75 11717 5221.0878202617 -3.11623 0 0 0 0 -0.00712073 -0.00589926 -0.577 -0.725 -5977.5 -0.545061 -0.379801	(  97.599999999999994316    17.300000000000000711    56.800000000000004263     5.2999999999999998224   10.700000000000001066    28.800000000000000711    32.700000000000002842    42.900000000000005684   )
76 11729 5226.4505108483 -3.11668 0 0 0 0 -0.00712073 -0.00590972 -0.577 -0.725 -5983 -0.545437 -0.379798	(  97.699999999999988631    17.300000000000000711    56.800000000000004263     5.3999999999999994671   10.700000000000001066    28.800000000000000711    32.700000000000002842    42.100000000000008527   )
78 11852 5300.3093389831 -3.12077 0 0 0 0 -0.00733361 -0.00588875 -0.577333 -0.725 -5993.5 -0.545744 -0.380261	(  97.799999999999982947    17.600000000000001421    57.000000000000007105     2.7999999999999993783   10.400000000000000355    28.800000000000000711    32.800000000000004263    42.100000000000008527   )
79 11853 5301.1614385210 -3.13334 0 0 0 0 -0.00712262 -0.00496925 -0.578 -0.725 -6028 -0.546855 -0.381933	(  98.200000000000002842    18.800000000000000711    57.800000000000004263     2.7999999999999993783    9.3000000000000007105   28.800000000000000711    33.200000000000002842    42.100000000000008527   )
81 11950 5359.0028633028 -3.17794 0 0 0 0 -0.00734175 -0.00364374 -0.582 -0.75 -6151.5 -0.550721 -0.38903	(  99.900000000000005684    23.800000000000000711    61.200000000000002842     2.7999999999999993783    4.8000000000000007105   28.800000000000000711    34.899999999999998579    42.100000000000008527   )
82 11951 5359.8433365077 -3.18164 0 0 0 0 -0.00670071 -0.0065599 -0.579 -0.75 -6154.5 -0.550457 -0.388747	(  99.900000000000005684    33.799999999999997158    71.200000000000002842     2.7999999999999993783    4.8000000000000007105   28.800000000000000711    44.899999999999998579    42.100000000000008527   )
83 11963 5363.6026867032 -3.18172 0 0 0 0 -0.00670071 -0.0056785 -0.579 -0.75 -6155.5 -0.550504 -0.388758	(  99.900000000000005684    33.799999999999997158    71.200000000000002842    12.799999999999998934     4.8000000000000007105   28.800000000000000711    34.899999999999998579    42.100000000000008527   )
84 12094 5447.2738810815 -3.21539 0 0 0 0 -0.00754703 -0.00585689 -0.578 -0.75 -6228 -0.551639 -0.39326	(  99.900000000000005684    43.799999999999997158    71.200000000000002842    12.799999999999998934     4.8000000000000007105   38.799999999999997158    64.900000000000005684    42.100000000000008527   )
85 12172 5486.6708436944 -3.21545 0 0 0 0 -0.00754703 -0.00585689 -0.578 -0.75 -6228.5 -0.551679 -0.393268	(  99.900000000000005684    43.799999999999997158    71.200000000000002842    12.799999999999998934     4.8000000000000007105   38.799999999999997158    54.900000000000005684    42.100000000000008527   )
86 12228 5512.5511140525 -3.21552 0 0 0 0 -0.00754703 -0.00585689 -0.578 -0.75 -6229 -0.551724 -0.393276	(  99.900000000000005684    43.799999999999997158    71.200000000000002842    12.799999999999998934     4.8000000000000007105   38.799999999999997158    44.900000000000005684    42.100000000000008527   )
